wiederaufnahm der sitzungsperiod	resumpt of the session	0-0 1-1 1-2 2-3	-5.66567727612
die liberalisier in den bereich strom und gas muss im weg der harmonisier des energiepolit rechtsrahm in den mitgliedstaat beschleunigt werd .	we need to speed up the process of liberalis in the energi and ga sector by harmonis the member state ' energi polici .	8-0 8-1 17-2 19-3 19-4 17-5 19-6 0-7 1-8 2-9 3-10 14-11 6-12 7-13 4-14 11-15 12-16 17-17 18-18 18-19 11-20 14-21 14-22 21-23	-102.165306946
wenn wir die liberalisier voranbring woll , durf wir ein schlusselelement nicht vergess : die funktion der offent stromversorg - und auch der gasversorg , wenngleich auf ein and eben .	if we are to continu to make progress with liberalis , we cannot forget one key element : the public servic role of electr - and ga as well , although on a differ level .	0-0 1-1 1-2 5-3 18-4 5-5 4-6 4-7 6-8 3-9 6-10 8-11 11-12 12-13 9-14 10-15 10-16 13-17 14-18 17-19 18-20 15-21 16-22 18-23 19-24 20-25 23-26 21-27 21-28 24-29 25-30 26-31 27-32 28-33 29-34 30-35	-132.336200474
wir geh davon aus , dass die entwickl erneuerbar energi maximal unterstutzt werd muss .	we believ that we have to support renew energi sourc as much as possibl .	0-0 2-1 5-2 0-3 13-4 14-5 11-6 8-7 9-8 8-9 10-10 1-11 10-12 10-13 14-14	-69.868534615
die praxis der vergang 40 jahr zeigt , dass die nichttrenn von netz und betrieb dazu fuhrt , dass imm die national eisenbahngesellschaft die best nutzungsmog der infrastruktur in ihr netz fur sich in anspruch nimmt und damit and eisenbahngesellschaft vom effektiv , nichtdiskriminier zugang ausschliesst .	experi over the past 40 year show that , if infrastructur and oper are not separ , the nation railway undertak alway reserv the best line for itself , therebi deni other railway undertak effect , non-discriminatori access .	10-0 10-1 2-2 3-3 4-4 5-5 6-6 8-7 9-8 10-9 27-10 13-11 14-12 19-13 22-14 10-15 17-16 20-17 21-18 22-19 22-20 19-21 10-22 23-23 24-24 10-25 11-26 10-27 11-28 10-29 10-30 38-31 39-32 39-33 41-34 42-35 43-36 44-37 46-38	-151.452180901
den werd wir aber nur bekomm , wenn wir als parlament ein klar haltung einnehm .	and we shall onli get it if we adopt a clear stanc here in parliament .	6-0 2-1 1-2 4-3 5-4 6-5 7-6 8-7 14-8 11-9 12-10 13-11 14-12 15-13 10-14 15-15	-62.649542044
dah kann es auch kein ausnahmeregel geb .	it also mean that there can be no derog .	2-0 3-1 5-2 7-3 6-4 1-5 2-6 4-7 5-8 7-9	-37.052852055
wir muss begreif , dass der binnenmarkt nicht vollendet werd kann , wenn nicht auch ein vollstand liberalisier der verkehrsdien erfolgt , und die liberalisier des eisenbahnsektor kann mein eracht ein entscheid beitrag in dies richtung leist . sie wird sich ebenfall ausserst positiv auf die wiederbeleb des im standig niedergang begriff verkehrsmittel eisenbahn auswirk .	we need to accept that there will be no complet singl market unless transport is fulli liberalis and i think that liberalis the railway will be a decis step in thi direct and will make a decis contribut toward the reviv of the declin mean of transport which we call the railway .	0-0 1-1 3-2 10-3 11-4 12-5 9-6 9-7 7-8 8-9 6-10 6-11 19-12 19-13 15-14 16-15 17-16 22-17 28-18 29-19 29-20 24-21 25-22 26-23 39-24 39-25 30-26 31-27 35-28 33-29 34-30 35-31 22-32 39-33 36-34 30-35 31-36 32-37 35-38 45-39 46-40 47-41 48-42 50-43 52-44 18-45 19-46 21-47 0-48 19-49 25-50 26-51 37-52	-230.723326331
die zweit botschaft richtet sich an den rat .	the second messag concern the council .	0-0 1-1 2-2 3-3 6-4 7-5 8-6	-13.6730878392
zweit hoff wir , dass die auf initiativ der liberal im ausschuss vorgenomm streichung von artikel 12 , die burg und verbrauch bestimmt netzvorteil beraub und behindert burg den zugang verwehr konnt , wied aufgehob wird .	secondli , we hope that the delet of articl 12 , led by the liber in committe , which could depriv citizen and consum of network benefit and depriv disabl peopl of access , can be reinsert into the text .	0-0 0-1 2-2 1-3 4-4 5-5 13-6 14-7 15-8 16-9 17-10 23-11 14-12 8-13 9-14 10-15 11-16 32-17 32-18 31-19 24-20 19-21 20-22 21-23 14-24 23-25 23-26 25-27 24-28 26-29 27-30 28-31 29-32 32-33 23-34 34-35 23-36 23-37 18-38 23-39 36-40	-156.538284459
es sei mir noch ein kurz technisch bemerk gestattet .	i would like to add a brief , technic comment .	2-0 1-1 2-2 3-3 8-4 4-5 5-6 3-7 6-8 7-9 9-10	-46.1319230986
erford ist dah ein strikt trennung zwisch infrastrukturbetrieb und erbring der verkehrsleist , und dies trennung darf nicht nur auf dem papi besteh .	it is therefor import to keep the manag of the infrastructur and the execut of transport servic strictli separ , and thi divis should not just exist on paper .	1-0 1-1 2-2 7-3 12-4 7-5 10-6 11-7 10-8 10-9 7-10 8-11 10-12 7-13 10-14 11-15 9-16 4-17 5-18 12-19 13-20 14-21 15-22 16-23 17-24 18-25 22-26 19-27 21-28 23-29	-102.9511931
schlussend werd transparenz und effizienz auch dies sektor zum vorteil gereich .	final , thi sector would also benefit from transpar and decis .	0-0 1-1 6-2 7-3 10-4 5-5 9-6 10-7 2-8 3-9 10-10 11-11	-42.8816250846
ich bitt um die aufrechterhalt der derzeit ausnahmeregel , so dass wir zeit fur die durchfuhr der entsprech verander hab , wobei jedoch gilt , dass die ausnahmeregel unverzug aufgehob wird , sobald ein eu-eisenbahnunternehm zugang zum irisch markt sucht .	i ask that the present derog be maintain to allow time to implement these chang rememb that , should an eu-rail oper wish to enter the irish rail market , the derog would immedi ceas .	0-0 1-1 10-2 5-3 6-4 7-5 8-6 4-7 2-8 7-9 12-10 13-11 15-12 17-13 18-14 34-15 25-16 22-17 23-18 33-19 34-20 34-21 34-22 36-23 34-24 36-25 37-26 34-27 38-28 24-29 26-30 27-31 1-32 28-33 34-34 40-35	-158.698992385
herr prasident , frau kommissarin , lieb kolleginn und kolleg ! die verkehrssituation in europa lasst sich mit einig aufschlussreich zahl zusammenfass .	mr presid , commission , ladi and gentlemen , the european transport situat can be sum up use sever pertin figur .	0-0 1-1 2-2 4-3 5-4 6-5 8-6 7-7 10-8 11-9 14-10 12-11 12-12 15-13 15-14 21-15 21-16 12-17 12-18 12-19 20-20 22-21	-72.5252976331
erfahr aus jung zeit sind fur uns anlass , solch folg zu befurcht , die es unbedingt zu verhind gilt .	recent event have given us ground to think that these are possibl consequ , which must be prevent at all cost .	2-0 7-1 6-2 7-3 6-4 7-5 8-6 16-7 8-8 9-9 4-10 12-11 10-12 13-13 13-14 16-15 17-16 18-17 3-18 4-19 12-20 20-21	-122.309060642
herr prasident ! der berichterstatt zum thema entwickl der eisenbahnunternehm geht davon aus , dass die schien im wettbewerb mit dem strassen- und dem flugverkehr vorerst weitgeh unterleg , es aber gleichwohl wunschenswert ist , den eisenbahnsektor aufrechtzuerhalt und weiterzuentwickeln .	mr presid , the rapporteur who draft a report on the develop of the commun 's railway ha adopt the guid principl that for the time be , the railway industri ha larg lost the competit battl to road transport and aviat but that despit thi , it is prefer to hold on to the railway industri and strengthen it .	0-0 1-1 2-2 3-3 4-4 36-5 21-6 5-7 4-8 5-9 5-10 7-11 8-12 20-13 21-14 8-15 9-16 25-17 25-18 20-19 21-20 21-21 14-22 15-23 15-24 16-25 29-26 34-27 35-28 36-29 36-30 25-31 26-32 21-33 17-34 18-35 21-36 20-37 21-38 21-39 22-40 24-41 30-42 28-43 31-44 29-45 28-46 29-47 29-48 25-49 35-50 37-51 35-52 34-53 35-54 36-55 36-56 38-57 21-58 29-59 40-60	-282.130507086
durch den binnenmarkt und den elektron geschaftsverkehr werd die verkehrs- und guterverkehrsstrom in der europa union in den nach zehn jahr um 70 % zunehm .	thank to the intern market and e-commerc , the flow of traffic and commod within the european union have increas by 70 % over the past ten year .	11-0 1-1 1-2 2-3 2-4 3-5 6-6 7-7 8-8 11-9 13-10 11-11 10-12 11-13 12-14 13-15 14-16 15-17 16-18 24-19 0-20 22-21 23-22 11-23 13-24 11-25 19-26 20-27 25-28	-106.82638355
herr prasident , frau kommissarin , sehr geehrt kolleginn und kolleg ! das heut hier besproch eisenbahnpaket zielt in sein gesamt auf ein rasch liberalisier der europa bahn ab .	mr presid , commission , honour member , the overal object of the railway packag under discuss here today is fast liberalis of the european railway .	0-0 1-1 2-2 4-3 5-4 7-5 10-6 11-7 12-8 16-9 16-10 11-11 12-12 16-13 16-14 27-15 15-16 14-17 13-18 22-19 23-20 24-21 25-22 25-23 26-24 27-25 29-26	-94.4470140407
um konkret auf jed einzeln bericht einzugeh und um nach dies allgemein frag zur klarung und nicht zur verlanger dies debatt beizutrag , mocht ich zu den anderungsantrag in bezug auf die richtlini zur ander der richtlini 91/440 / ewg , die vom berichterstatt herrn jarzembowski behandelt wird , sag , dass wir die anderungsantrag 3 , 6 , 8 , 9 , 11 , 13 , 14 , 17 , 20 , 21 und 24 akzepti konnt .	turn specif to each of the report , after these gener comment , and perhap in order to clarifi and not to prolong thi debat ani further , i would like to refer to amend relat to the direct amend direct 91/440 / eec , whose rapporteur is mr jarzembowski . we could accept amend no 3 , 6 , 8 , 9 , 11 , 13 , 14 , 17 , 20 , 21 and 24 .	37-0 1-1 2-2 3-3 41-4 42-5 43-6 40-7 9-8 10-9 11-10 37-11 40-12 38-13 37-14 8-15 8-16 13-17 14-18 15-19 16-20 17-21 18-22 19-23 20-24 34-25 37-26 22-27 24-28 23-29 23-30 25-31 29-32 30-33 27-34 29-35 30-36 31-37 32-38 34-39 36-40 37-41 38-42 39-43 40-44 37-45 43-46 47-47 44-48 45-49 78-50 52-51 77-52 76-53 54-54 54-55 55-56 56-57 57-58 58-59 59-60 60-61 61-62 62-63 63-64 64-65 65-66 66-67 67-68 68-69 69-70 70-71 71-72 72-73 73-74 74-75 75-76 78-77	-269.363818685
wenn ich ein autounfall hab , kann ich den schad beziff und beseit .	if i have a car accid , i can quantifi and repair the damag .	0-0 1-1 4-2 2-3 3-4 3-5 5-6 7-7 6-8 10-9 11-10 3-11 8-12 9-13 13-14	-43.4354547312
zweit : wir pladi mit breit mehrheit dafur , dass die ausbild der facharzt von mindest zwei auf mindest drei jahr angehob wird , um damit ein breit trend innerhalb der europa union gerecht zu werd .	secondli : we are call , by a larg major , for specialist train to be increas from at least two to at least three year in order to take account of a broad trend within the european union .	0-0 1-1 2-2 2-3 3-4 8-5 4-6 5-7 6-8 6-9 8-10 7-11 13-12 11-13 34-14 35-15 21-16 14-17 15-18 15-19 16-20 17-21 18-22 18-23 19-24 20-25 24-26 24-27 24-28 13-29 13-30 14-31 26-32 27-33 28-34 29-35 30-36 31-37 32-38 36-39	-133.567815606
wir glaub , dass wir nicht nur in sonntagsred von lebenslang lern red muss , sond dass es ein standard ist , den der patient erwart kann , darf und muss , dass arzt sich auch fortbild . deshalb werd die antrag 1 bis 11 vom ausschuss wohl auch morg vom haus in all breit unterstutzt .	we believ that lifelong learn is not just the stuff of soap-box speech ; it should be standard and patient should be abl to expect their doctor to complet further train , which is whi amend no 1 to 11 are broadli support by the committe and will sure be broadli support by the hous tomorrow .	0-0 1-1 3-2 10-3 11-4 20-5 5-6 6-7 7-8 8-9 9-10 8-11 12-12 15-13 17-14 16-15 17-16 19-17 29-18 24-19 28-20 28-21 26-22 27-23 25-24 24-25 33-26 34-27 8-28 36-29 36-30 31-31 31-32 34-33 38-34 41-35 42-36 42-37 43-38 44-39 39-40 54-41 55-42 45-43 45-44 46-45 29-46 34-47 34-48 39-49 54-50 55-51 50-52 50-53 51-54 49-55 56-56	-263.606634876
ich empfehl , den ebenfall in dies richtung zielend antrag der uen abzulehn .	i would recommend that the hous also reject the amend along these line propos by the uen .	0-0 0-1 1-2 2-3 3-4 8-5 4-6 12-7 10-8 9-9 8-10 6-11 8-12 9-13 8-14 10-15 11-16 13-17	-67.9159802568
der binnenmarkt zahlt zu den grosst errungenschaft der europa gemeinschaft .	the singl market is one of the great achiev of the european commun .	0-0 1-1 1-2 2-3 2-4 4-5 4-6 6-7 6-8 7-9 7-10 8-11 9-12 10-13	-36.9240045522
dies erfordert standig kontroll , und wir begruss die uberarbeit ein reih von richtlini , die heut abend zur debatt steh .	thi requir ongo monitor and we veri much welcom the revis of the seri of direct which are the subject of thi debat thi even .	0-0 1-1 9-2 3-3 5-4 6-5 17-6 7-7 7-8 8-9 9-10 10-11 8-12 11-13 12-14 13-15 14-16 20-17 18-18 19-19 18-20 17-21 19-22 17-23 17-24 21-25	-103.454233001
das ist ausserst wichtig .	thi is extrem import .	0-0 1-1 2-2 3-3 4-4	-6.44132157935
es liegt auf der hand , dass dies ein eher schwierig vorhab ist , u. a. weil wir es mit 14 verschied , jeweil mehrfach geandert richtlini zu tun hab .	thi is clearli a somewhat difficult undertak for , apart from anyth els , there are 14 direct in exist on the subject and each one ha been amend sever time .	7-0 1-1 4-2 8-3 15-4 10-5 15-6 15-7 13-8 15-9 14-10 9-11 15-12 13-13 18-14 17-15 20-16 26-17 27-18 15-19 2-20 3-21 15-22 22-23 23-24 23-25 24-26 24-27 25-28 24-29 24-30 30-31	-175.053253292
allein die anzahl der besteh richtlini - zum heutig thema sind es " nur " vierzehn - zeig die schwierig .	the difficulti are clear from the number of current direct alon - there are " onli " fourteen on today 's subject .	18-0 19-1 10-2 15-3 3-4 1-5 2-6 3-7 4-8 5-9 0-10 6-11 11-12 10-13 12-14 13-15 14-16 15-17 7-18 8-19 8-20 9-21 20-22	-88.2939709759
die aussprach ist geschloss .	the debat is close .	0-0 1-1 2-2 3-3 4-4	-3.84954108167
ich mocht erst frag , ob es zulass ist , dass ein minist oder kommissar , dem hier ein frag gestellt wurd , die antwort verweigert , und das auch noch in ein derart veracht art und weis , und zweit , ob wir den satz " ich hab ihn bereit geantwortet " als antwort akzepti konn , obwohl es keinesfall an dem war .	i should like to ask , first , if a minist or commission question here is abl not onli to refus to repli but to do so in a complet disdain manner and if we are suppos to take " i have alreadi repli " as an answer , when they have not done so .	0-0 1-1 1-2 4-3 3-4 4-5 2-6 4-7 5-8 11-9 12-10 13-11 14-12 19-13 17-14 18-15 56-16 60-17 2-18 4-19 25-20 26-21 24-22 60-23 61-24 60-25 60-26 31-27 32-28 34-29 34-30 37-31 39-32 42-33 43-34 43-35 34-36 38-37 34-38 46-39 47-40 48-41 50-42 51-43 52-44 53-45 53-46 54-47 57-48 58-49 49-50 50-51 25-52 25-53 60-54 64-55	-259.564995786
dies durft wohl das erst mal sein , dass wir herrn helm sprachlos erleb .	can i say to thi hous that i understand thi must be the first time that mr helmer ha been speechless .	12-0 2-1 12-2 7-3 0-4 12-5 8-6 2-7 12-8 0-9 12-10 1-11 3-12 4-13 5-14 8-15 10-16 11-17 12-18 12-19 12-20 14-21	-96.7594923795
( das parlament genehmigt das protokoll . )	( the minut were approv )	0-0 1-1 5-2 3-3 3-4 7-5	-16.6163856356
dies ist ein vorfall von grosst bedeut fur dies parlament , das davon ebenfall betroff ist , da die europa union garantiefond fur die eib bereitstellt .	thi is an extrem import matter for thi parliament , which is concern becaus the european union provid guarante fund to the eib .	0-0 1-1 2-2 6-3 6-4 3-5 7-6 8-7 9-8 10-9 10-10 11-11 14-12 17-13 18-14 19-15 20-16 25-17 21-18 21-19 22-20 23-21 24-22 26-23	-75.4066683946
dah mocht ich mich auf einig der wichtig punkt konzentri , die auch im entschliessungsantrag ihr ausschuss fur wirtschaft und wahrung enthalt sind .	therefor i shall concentr on some of the most pertin issu , which have also been rais in the resolut draft by your committe on econom and monetari affair .	0-0 2-1 9-2 9-3 4-4 5-5 6-6 6-7 7-8 9-9 8-10 10-11 10-12 10-13 12-14 22-15 8-16 13-17 13-18 14-19 14-20 13-21 15-22 16-23 17-24 18-25 19-26 20-27 20-28 23-29	-130.279104984
die aus mein sicht zutreff definition ist die , in der die " new economy " als phanom beschrieb wird , das die zuwachsrat der produktivitat uber ein lang zeitraum hinweg weit beschleunigt .	in my view , the most use definit is that which characteris the new economi as a phenomenon which increas the growth rate of product over an extend period of time .	9-0 2-1 3-2 20-3 22-4 23-5 23-6 5-7 6-8 21-9 22-10 23-11 24-12 13-13 14-14 16-15 16-16 17-17 20-18 25-19 22-20 23-21 23-22 24-23 25-24 26-25 27-26 23-27 29-28 27-29 28-30 33-31	-126.764417782
im gegensatz dazu lass sich derzeit im euro-wahrungsgebiet kein klar anzeich fur ein " new economy " ausmach .	by contrast , it is difficult as yet to find clear evid of a new economi in the euro area .	0-0 1-1 3-2 4-3 4-4 15-5 11-6 15-7 11-8 15-9 9-10 10-11 11-12 12-13 14-14 15-15 6-16 6-17 7-18 7-19 18-20	-93.1187865259
im zusammenhang mit dies diskussion wurd die ezb von einig beobacht aufgefordert , die zins niedrig zu halt , um die " new economy " zu ford .	in the context of thi discuss , some observ have urg the ecb to keep interest rate low in view of the new economi .	0-0 0-1 1-2 3-3 3-4 4-5 8-6 9-7 10-8 9-9 11-10 6-11 7-12 16-13 17-14 14-15 14-16 15-17 19-18 23-19 20-20 20-21 22-22 23-23 27-24	-89.9142953636
prognos weis nun einmal gravier mangel auf .	forecast themselv have import shortcom .	0-0 0-1 0-2 0-3 5-4 7-5	-24.4194373963
dank ihr stabilitatspolit verzeichn die land in der eurozon ein histor tiefstand bei der teuerungsrat .	becaus of your stability-ori polici , the countri in the euro area can boast a histor low level of price inflat .	14-0 13-1 1-2 14-3 2-4 4-5 4-6 5-7 6-8 7-9 8-10 8-11 14-12 14-13 9-14 10-15 11-16 14-17 13-18 14-19 14-20 15-21	-78.6101032899
aber ein jung institution wie die ezb muss nicht nur um das vertrau der finanzmarkt , sond auch um das vertrau der burg werb .	but a young institut like the ecb ha to win the confid not onli of the financi market but also of the public .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 23-7 24-8 23-9 19-10 20-11 8-12 9-13 13-14 13-15 14-16 14-17 16-18 17-19 21-20 21-21 23-22 24-23	-74.3120347093
gerad die schwach mensch leid unt der schleichend inflation , und dies ist dah aus mein sicht unsozial .	those who are disadvantag suffer particularli from creep inflat , which i therefor regard as be social unaccept .	17-0 17-1 14-2 17-3 4-4 17-5 14-6 7-7 8-8 9-9 9-10 15-11 13-12 17-13 16-14 18-15 17-16 17-17 18-18	-88.6919877882
